Country,Year2017,Year2018,Year2019,Year2020,Year2021,Year2022,POP2017,POP2018,POP2019,POP2020,POP2021,POP2022,Year,USAGDP,WorldGDP,Year(Date),Country(MostAffected),2019GDP,2020GDP,Country(LeastAffected),LA2020GDP
Pacific Islands ,3.9,0.9,3.1,-6.4,-0.4,5.2,7323162,7509952,7698476,7889095,8082359,"9,272,000",,,,,,,,,
South America,0.8,0.5,0,-6.6,7.3,3.6,68714519,68971313,69209817,69428454,69625581,"67,733,000",,,,,,,,,
South Asia,6.6,6.4,3.8,-4.8,8.1,6.4,8454019,8663575,8880270,9100847,9321023,"336,958,000",,,,,,,,,
Southeast Asia,5.4,5.3,4.7,-3.2,3.1,5,5565283,5662371,5757667,5850902,5942094,"83,300",,,,,,,,,
Sub-Saharan Africa (Region) ,2.9,3.1,2.9,-1.7,4.5,3.4,606271936,612511541,618653508,624698076,630644771,"3,556,000",,,,,,,,,
Western Europe,2.5,1.8,1.6,-6.3,5.6,3.2,1196294,1219289,1243260,1267975,1293120,"35,626,000",,,,,,,,,
Western Hemisphere (Region),2,2.4,1.6,-4.6,6,2.3,359705464,365926929,372133652,378386080,384771769,"315,700",,,,,,,,,
ASEAN-5,5.5,5.4,4.9,-3.4,3.4,5.3,100780,101143,102002,103199,104497,105769,,,,,,,,,
Advanced economies,2.5,2.3,1.7,-4.4,5.2,2.4,1749417067,1771187426,1792883164,1814455018,1835776769,"33,361,000",,,,,,,,,
Emerging and Developing Asia,6.6,6.4,5.2,-0.6,7.2,4.4,995458498,1022530245,1050162810,1078319512,1106957870,"99,818,000",,,,,,,,,
Emerging and Developing Europe,4.1,3.4,2.5,-1.7,6.8,0,1370332,1377563,1384060,1389841,1394969,"3,189,000",,,,,,,,,
Emerging market and developing economies,4.8,4.6,3.6,-1.9,6.6,3.7,11179951,11303942,11433438,11565203,11694721,"32,497,000",,,,,,,,,
Euro area,2.6,1.8,1.6,-6.1,5.2,3.1,78529413,79827868,81116451,82340090,83429607,"18,913,000",,,,,,,,,
European Union,3,2.2,2,-5.6,5.4,3.2,11099,11232,11365,11505,11655,"14,089,000",,,,,,,,,
Latin America and the Caribbean,1.4,1.2,0.2,-7,6.9,3.5,51482638,53049231,54660345,56313444,58005461,"59,018,933",,,,,,,,,
Major advanced economies (G7),2.2,2.1,1.6,-4.8,5.1,2,38225447,39649173,41166588,42729032,44269587,"45,693,021",,,,,,,,,
Middle East and Central Asia,2.6,2.6,1.7,-2.7,4.5,5,45154036,45004673,44831135,44622518,44386203,"47,839,383",,,,,,,,,
Other advanced economies,3.1,2.8,2,-1.7,5.3,2.8,2412687400,2431145930,2449903406,2466337061,2480707519,"2,493,389,038",,,,,,,,,
Sub-Saharan Africa,3,3.3,3.2,-1.6,4.7,3.6,3412013,3424139,3436645,3449290,3461731,"3,472,112",,,,,,,,,
